1136+1551  13-Jun-14   90000.00   56821.37500000000             4.840738  0.948 -9.103
    757463474.698330    0.841812442909   jb  300   12   327.000                
  9.03029940663801352e-10 -4.93309608069333883e-03  7.76259142609126858e-08
  4.49968326870196138e-11 -1.49495724823353369e-13 -5.57204455743007254e-17
  3.95745856986493153e-20  1.17177412673574005e-21  2.61384467429229466e-24
 -4.55464884075179204e-26 -4.41954871571463485e-29  6.59382551386364142e-31
1136+1551  15-Jun-14   83000.00   56823.35416666660             4.840740  0.946 -9.158
    757607410.501082    0.841812442909   jb  300   12   327.000                
 -4.66995284673435429e-11 -4.92317622386802961e-03  8.42772255469174378e-08
 -8.17343237618700046e-11 -1.29926410361496997e-13  8.26236102671900634e-17
  7.11469574147113083e-20 -3.73016559492074670e-22  6.20279687345273029e-25
  1.19986983545083723e-26 -1.24297119536000385e-29 -1.59548018564135183e-31
1136+1551  15-Jun-14  133000.00   56823.56249999990             4.840740  0.943 -9.138
    757622561.652666    0.841812442909   jb  300   12   327.000                
 -1.21345078988404808e-09 -4.90455747853723104e-03 -3.05579546596335515e-08
 -1.35700833682223947e-10  5.34643849642196607e-14  1.28816554676269549e-16
 -5.57059420682917063e-20 -5.25285650076899255e-23  1.11421702521972718e-24
  2.64490384838267165e-27 -1.84336767445607218e-29 -7.23707385751338980e-32
1136+1551  15-Jun-14  183000.00   56823.77083333320             4.840740  0.952 -9.264
    757637712.799565    0.841812442909   jb  300   12   327.000                
 -4.95200322070080162e-12 -4.94928144093737584e-03 -9.56154988224288432e-08
  1.25353233399220154e-11  1.57302422939331442e-13 -1.02858201630338916e-17
 -1.10154734021724116e-19 -1.38657735208521791e-23  5.26607554555111017e-25
 -3.37099417973672292e-27 -8.33792636191478003e-30  9.88407958716488117e-32
1136+1551  15-Jun-14  233000.00   56823.97916666660             4.840740  0.959 -9.063
    757652863.931666    0.841812442909   jb  300   12   327.000                
  1.40694516412657612e-10 -4.98813975796640920e-03 -1.38696239342462554e-08
  1.42279579536838920e-10  2.69525086569920364e-14 -1.38265183092615417e-16
 -1.99065466590495000e-20  2.84294528780756936e-22  1.82946528226411553e-25
 -9.09087936135061925e-27 -3.00096034200500770e-30  1.30108055546205186e-31
1136+1551  16-Jun-14   43000.00   56824.18749999990             4.840741  0.954 -9.269
    757668015.061676    0.841812442909   jb  300   12   327.000                
 -5.42563962998067427e-11 -4.96057962664167660e-03  9.30689922403727917e-08
  6.02434401664581417e-11 -1.43327293291659858e-13 -5.52035105412823755e-17
  7.13040633074846222e-20 -5.56679769589276537e-23  9.82627450273525629e-25
 -6.24407740372376448e-28 -1.70112570749173136e-29  5.33886275788427621e-32
